date,restaurant_id,restaurant_name,sales,orders,region,avg_order_value,ads_enabled,rating,delivery_time
2022-01-01,1,Warung Bali Asli,4113465,89,Seminyak,46218.70786516854,True,4.0,30
2022-01-01,2,Ubud Organic Cafe,3417090,57,Ubud,59948.94736842105,True,4.0,30
2022-01-01,3,Canggu Surf Cafe,4580582,77,Canggu,59488.07792207792,True,4.0,30
2022-01-01,4,Denpasar Local,2755158,59,Denpasar,46697.59322033898,True,4.0,30
2022-01-01,5,Sanur Beach Resto,3251789,55,Sanur,59123.43636363636,True,4.0,30
2022-01-01,6,Nusa Dua Fine Dining,7483794,147,Seminyak,50910.163265306124,True,4.0,30
2022-01-01,7,Jimbaran Seafood,6209933,100,Canggu,62099.33,True,4.0,30
2022-01-01,8,Kuta Night Market,2634987,54,Denpasar,48796.055555555555,True,4.0,30
2022-01-02,1,Warung Bali Asli,3438358,56,Seminyak,61399.25,True,4.0,30
2022-01-02,2,Ubud Organic Cafe,4127017,82,Ubud,50329.4756097561,True,4.0,30
2022-01-02,3,Canggu Surf Cafe,3074815,68,Canggu,45217.867647058825,True,4.0,30
2022-01-02,4,Denpasar Local,3113455,48,Denpasar,64863.645833333336,True,4.0,30
2022-01-02,5,Sanur Beach Resto,2954631,61,Sanur,48436.57377049181,True,4.0,30
2022-01-02,6,Nusa Dua Fine Dining,5099834,86,Seminyak,59300.395348837206,True,4.0,30
2022-01-02,7,Jimbaran Seafood,4868974,89,Canggu,54707.573033707864,True,4.0,30
2022-01-02,8,Kuta Night Market,2444031,42,Denpasar,58191.21428571428,True,4.0,30
2022-01-03,1,Warung Bali Asli,3171273,68,Seminyak,46636.367647058825,True,4.0,30
2022-01-03,2,Ubud Organic Cafe,1742436,32,Ubud,54451.125,True,4.0,30
2022-01-03,3,Canggu Surf Cafe,2883252,59,Canggu,48868.67796610169,True,4.0,30
2022-01-03,4,Denpasar Local,2158083,45,Denpasar,47957.4,True,4.0,30
2022-01-03,5,Sanur Beach Resto,2048321,32,Sanur,64010.03125,True,4.0,30
2022-01-03,6,Nusa Dua Fine Dining,4089651,78,Seminyak,52431.42307692308,True,4.0,30
2022-01-03,7,Jimbaran Seafood,3199878,58,Canggu,55170.31034482759,True,4.0,30
2022-01-03,8,Kuta Night Market,1428634,22,Denpasar,64937.90909090909,True,4.0,30
2022-01-04,1,Warung Bali Asli,2384804,39,Seminyak,61148.820512820515,True,4.0,30
2022-01-04,2,Ubud Organic Cafe,2621539,45,Ubud,58256.42222222222,True,4.0,30
2022-01-04,3,Canggu Surf Cafe,3107394,54,Canggu,57544.333333333336,True,4.0,30
2022-01-04,4,Denpasar Local,1873049,38,Denpasar,49290.76315789474,True,4.0,30
2022-01-04,5,Sanur Beach Resto,1822100,33,Sanur,55215.15151515151,True,4.0,30
2022-01-04,6,Nusa Dua Fine Dining,4773080,78,Seminyak,61193.333333333336,True,4.0,30
2022-01-04,7,Jimbaran Seafood,3847049,74,Canggu,51987.14864864865,True,4.0,30
2022-01-04,8,Kuta Night Market,2110625,37,Denpasar,57043.91891891892,True,4.0,30
2022-01-05,1,Warung Bali Asli,3183485,49,Seminyak,64969.08163265306,True,4.0,30
2022-01-05,2,Ubud Organic Cafe,2544794,41,Ubud,62068.14634146341,True,4.0,30
2022-01-05,3,Canggu Surf Cafe,2540908,45,Canggu,56464.62222222222,True,4.0,30
2022-01-05,4,Denpasar Local,1854333,39,Denpasar,47547.0,True,4.0,30
2022-01-05,5,Sanur Beach Resto,2427474,46,Sanur,52771.17391304348,True,4.0,30
2022-01-05,6,Nusa Dua Fine Dining,4666190,75,Seminyak,62215.86666666667,True,4.0,30
2022-01-05,7,Jimbaran Seafood,3731607,60,Canggu,62193.45,True,4.0,30
2022-01-05,8,Kuta Night Market,1920639,38,Denpasar,50543.13157894737,True,4.0,30
2022-01-06,1,Warung Bali Asli,3910537,69,Seminyak,56674.44927536232,True,4.0,30
2022-01-06,2,Ubud Organic Cafe,2332236,37,Ubud,63033.40540540541,True,4.0,30
2022-01-06,3,Canggu Surf Cafe,3059211,59,Canggu,51851.03389830508,True,4.0,30
2022-01-06,4,Denpasar Local,3193698,53,Denpasar,60258.45283018868,True,4.0,30
2022-01-06,5,Sanur Beach Resto,2491516,42,Sanur,59321.80952380953,True,4.0,30
2022-01-06,6,Nusa Dua Fine Dining,3524172,62,Seminyak,56841.48387096774,True,4.0,30
2022-01-06,7,Jimbaran Seafood,5101045,87,Canggu,58632.70114942529,True,4.0,30
2022-01-06,8,Kuta Night Market,1440104,31,Denpasar,46454.967741935485,True,4.0,30
2022-01-07,1,Warung Bali Asli,6288069,106,Seminyak,59321.40566037736,True,4.0,30
2022-01-07,2,Ubud Organic Cafe,4684528,78,Ubud,60058.05128205128,True,4.0,30
2022-01-07,3,Canggu Surf Cafe,4074476,75,Canggu,54326.346666666665,True,4.0,30
2022-01-07,4,Denpasar Local,2642647,46,Denpasar,57448.84782608696,True,4.0,30
2022-01-07,5,Sanur Beach Resto,4557957,94,Sanur,48488.90425531915,True,4.0,30
2022-01-07,6,Nusa Dua Fine Dining,5826503,100,Seminyak,58265.03,True,4.0,30
2022-01-07,7,Jimbaran Seafood,5605288,98,Canggu,57196.816326530614,True,4.0,30
2022-01-07,8,Kuta Night Market,3014137,47,Denpasar,64130.574468085106,True,4.0,30
2022-01-08,1,Warung Bali Asli,3893188,74,Seminyak,52610.64864864865,True,4.0,30
2022-01-08,2,Ubud Organic Cafe,2731785,55,Ubud,49668.818181818184,True,4.0,30
2022-01-08,3,Canggu Surf Cafe,4791785,89,Canggu,53840.2808988764,True,4.0,30
2022-01-08,4,Denpasar Local,3159671,58,Denpasar,54477.08620689655,True,4.0,30
2022-01-08,5,Sanur Beach Resto,4588865,79,Sanur,58086.898734177215,True,4.0,30
2022-01-08,6,Nusa Dua Fine Dining,7694197,147,Seminyak,52341.47619047619,True,4.0,30
2022-01-08,7,Jimbaran Seafood,6755022,135,Canggu,50037.2,True,4.0,30
2022-01-08,8,Kuta Night Market,1724008,37,Denpasar,46594.81081081081,True,4.0,30
2022-01-09,1,Warung Bali Asli,6029946,102,Seminyak,59117.117647058825,True,4.0,30
