restaurant_id,date,total_sales,total_orders,ads_spend,ads_enabled,avg_rating,cancellation_rate,avg_preparation_time,avg_order_value,delivery_time
1,2022-01-01,2018373,49,92405,True,3.7,0.115,35,41191,28
2,2022-01-01,1666710,37,0,False,4.8,0.034,26,45046,38
3,2022-01-01,2983054,65,95407,True,4.7,0.099,28,45893,30
4,2022-01-01,1705941,30,44345,True,3.5,0.166,33,56865,30
5,2022-01-01,2566967,54,59946,True,4.0,0.1,31,47536,25
6,2022-01-01,3277607,59,125962,True,4.6,0.092,37,55553,39
7,2022-01-01,2120381,37,0,False,4.3,0.134,25,57308,47
8,2022-01-01,1040818,22,52251,True,3.6,0.113,39,47310,39
1,2022-01-02,3292857,56,0,False,4.6,0.131,33,58801,34
2,2022-01-02,2690596,53,133549,True,4.3,0.165,37,50766,42
3,2022-01-02,2819452,56,0,False,3.6,0.031,25,50347,31
4,2022-01-02,2285225,40,55160,True,3.4,0.069,27,57131,45
5,2022-01-02,2155046,46,0,False,4.4,0.11,37,46849,33
6,2022-01-02,2537881,57,0,False,3.5,0.154,32,44524,32
7,2022-01-02,2715743,48,41594,True,4.2,0.125,34,56578,28
8,2022-01-02,1849551,35,0,False,3.6,0.173,38,52844,49
1,2022-01-03,1704773,35,0,False,4.7,0.03,21,48708,27
2,2022-01-03,1681532,33,0,False,3.9,0.175,29,50956,26
3,2022-01-03,1474349,33,0,False,4.2,0.123,23,44677,48
4,2022-01-03,1308004,29,0,False,4.7,0.086,32,45104,35
5,2022-01-03,1567791,35,131109,True,4.5,0.111,24,44794,34
6,2022-01-03,2630678,44,0,False,4.7,0.088,23,59788,27
7,2022-01-03,2096510,52,75499,True,3.9,0.157,19,40318,48
8,2022-01-03,713880,11,0,False,4.3,0.035,31,64898,35
1,2022-01-04,1886719,32,49014,True,4.5,0.176,30,58960,32
2,2022-01-04,1827611,31,0,False,3.8,0.178,23,58955,34
3,2022-01-04,1483985,29,117947,True,4.2,0.088,31,51172,35
4,2022-01-04,1459394,30,78438,True,3.7,0.127,30,48646,32
5,2022-01-04,1165755,20,56637,True,3.5,0.145,33,58288,37
6,2022-01-04,2037866,35,109580,True,3.6,0.157,26,58225,30
7,2022-01-04,1759029,43,50369,True,4.0,0.18,30,40908,40
8,2022-01-04,667700,11,0,False,3.6,0.11,32,60700,46
1,2022-01-05,3099941,73,0,False,4.3,0.06,25,42465,49
2,2022-01-05,2148525,43,143564,True,4.4,0.172,25,49966,47
3,2022-01-05,1826753,34,149356,True,4.7,0.084,33,53728,28
4,2022-01-05,1418991,34,135659,True,4.7,0.138,24,41735,49
5,2022-01-05,1447436,30,0,False,3.6,0.062,28,48248,40
6,2022-01-05,3290598,59,90703,True,4.1,0.165,22,55773,34
7,2022-01-05,3205318,59,111362,True,4.5,0.114,18,54327,49
8,2022-01-05,1606849,31,52337,True,3.9,0.151,20,51834,49
1,2022-01-06,2758262,61,84767,True,4.5,0.13,24,45217,40
2,2022-01-06,1653739,33,64155,True,4.4,0.038,32,50113,47
3,2022-01-06,1548018,36,70571,True,3.7,0.095,18,43001,29
4,2022-01-06,1799210,35,141793,True,4.6,0.176,31,51406,38
5,2022-01-06,2195767,38,62964,True,4.2,0.131,27,57783,25
6,2022-01-06,2602262,53,0,False,4.1,0.119,26,49099,43
7,2022-01-06,2746419,47,97005,True,3.4,0.174,28,58434,30
8,2022-01-06,1283402,22,118797,True,4.3,0.061,27,58336,41
1,2022-01-07,3426970,77,94376,True,3.5,0.1,19,44506,36
2,2022-01-07,1922780,39,0,False,4.3,0.14,32,49302,43
3,2022-01-07,3193739,64,0,False,3.7,0.112,20,49902,38
4,2022-01-07,1536881,28,47820,True,3.8,0.107,37,54889,26
5,2022-01-07,2308763,41,95937,True,4.5,0.036,32,56311,30
6,2022-01-07,3772504,68,73209,True,4.2,0.034,30,55478,40
7,2022-01-07,2912250,69,0,False,4.4,0.109,36,42207,25
8,2022-01-07,1316203,22,0,False,4.1,0.106,25,59827,32
1,2022-01-08,2994190,60,33348,True,4.5,0.147,18,49903,27
2,2022-01-08,2076719,41,109395,True,4.5,0.068,31,50652,28
3,2022-01-08,2942587,66,100670,True,4.0,0.084,39,44585,47
4,2022-01-08,2292374,39,121724,True,4.1,0.171,28,58779,33
5,2022-01-08,2235254,50,83063,True,3.6,0.046,21,44705,47
6,2022-01-08,4137181,78,58021,True,3.6,0.038,20,53041,41
7,2022-01-08,4055942,95,96008,True,3.9,0.147,27,42694,25
8,2022-01-08,1772461,35,92708,True,4.2,0.128,23,50642,27
1,2022-01-09,3473155,82,0,False,3.8,0.107,32,42356,44
2,2022-01-09,2496121,54,52018,True,4.2,0.142,20,46224,32
3,2022-01-09,2980905,65,78683,True,3.8,0.047,35,45860,44
4,2022-01-09,1894147,35,0,False,4.4,0.142,22,54118,44
5,2022-01-09,2696059,47,0,False,3.9,0.15,27,57363,37
6,2022-01-09,4205845,97,0,False,4.2,0.072,30,43359,36
7,2022-01-09,2386807,49,85433,True,4.6,0.1,22,48710,37
8,2022-01-09,1682219,29,0,False,3.8,0.054,19,58008,38
1,2022-01-10,1445681,26,56101,True,4.1,0.064,35,55603,36
2,2022-01-10,1564545,27,120668,True,4.2,0.091,18,57946,49
3,2022-01-10,1616207,39,0,False,3.7,0.111,30,41441,46
4,2022-01-10,1293939,22,137640,True,4.6,0.09,22,58815,25
5,2022-01-10,1531369,31,34753,True,3.4,0.087,39,49399,30
6,2022-01-10,2820435,55,0,False,3.6,0.108,26,51281,32
7,2022-01-10,1683117,28,66764,True,4.2,0.163,30,60111,26
8,2022-01-10,850207,16,69717,True,4.2,0.178,39,53138,47
1,2022-01-11,1677268,39,116741,True,4.6,0.086,30,43007,47
2,2022-01-11,1523874,36,0,False,3.7,0.1,34,42330,41
3,2022-01-11,2299219,43,0,False,4.7,0.045,22,53470,29
4,2022-01-11,1332000,24,148285,True,4.2,0.131,32,55500,26
5,2022-01-11,1542379,34,105117,True,4.2,0.099,28,45364,33
6,2022-01-11,3029469,67,76161,True,3.9,0.091,32,45216,49
7,2022-01-11,1923103,36,0,False,4.0,0.121,25,53420,44
8,2022-01-11,1208176,29,0,False,4.1,0.045,18,41661,49
1,2022-01-12,1728960,29,38577,True,3.8,0.053,32,59619,37
2,2022-01-12,1567162,29,148633,True,4.5,0.037,32,54040,48
