restaurant_id,date,total_sales,total_orders,ads_spend,ads_enabled,avg_rating,cancellation_rate,avg_preparation_time,avg_order_value,delivery_time
1,2022-01-01,4113465,89,167861,True,3.9,0.103,27,46219,43
2,2022-01-01,3417090,57,186118,True,3.7,0.089,15,59949,41
3,2022-01-01,4580582,77,97799,True,3.9,0.147,18,59488,28
4,2022-01-01,2755158,59,71633,True,4.0,0.044,24,46698,24
5,2022-01-01,3251789,55,0,False,4.7,0.124,24,59123,27
6,2022-01-01,7483794,147,0,False,4.7,0.066,15,50910,26
7,2022-01-01,6209933,100,62245,True,4.7,0.1,16,62099,30
8,2022-01-01,2634987,54,0,False,3.7,0.134,30,48796,41
1,2022-01-02,3438358,56,109964,True,3.6,0.066,26,61399,44
2,2022-01-02,4127017,82,0,False,3.8,0.028,33,50329,33
3,2022-01-02,3074815,68,102197,True,4.5,0.142,23,45218,25
4,2022-01-02,3113455,48,132977,True,4.2,0.052,20,64864,24
5,2022-01-02,2954631,61,0,False,4.4,0.145,23,48437,29
6,2022-01-02,5099834,86,76853,True,4.4,0.116,33,59300,36
7,2022-01-02,4868974,89,158320,True,3.8,0.1,21,54708,26
8,2022-01-02,2444031,42,0,False,3.9,0.053,34,58191,24
1,2022-01-03,3171273,68,96747,True,3.7,0.148,31,46636,21
2,2022-01-03,1742436,32,98588,True,4.9,0.099,20,54451,34
3,2022-01-03,2883252,59,0,False,4.8,0.145,32,48869,24
4,2022-01-03,2158083,45,0,False,4.7,0.059,34,47957,40
5,2022-01-03,2048321,32,0,False,4.7,0.033,23,64010,44
6,2022-01-03,4089651,78,151926,True,3.7,0.078,33,52431,23
7,2022-01-03,3199878,58,132337,True,4.8,0.08,34,55170,42
8,2022-01-03,1428634,22,87364,True,4.1,0.052,31,64938,32
1,2022-01-04,2384804,39,0,False,4.2,0.031,25,61149,22
2,2022-01-04,2621539,45,0,False,4.2,0.099,27,58256,40
3,2022-01-04,3107394,54,174225,True,4.9,0.1,33,57544,30
4,2022-01-04,1873049,38,91935,True,4.7,0.049,28,49291,40
5,2022-01-04,1822100,33,0,False,4.3,0.042,28,55215,37
6,2022-01-04,4773080,78,114675,True,4.2,0.077,31,61193,20
7,2022-01-04,3847049,74,162516,True,4.6,0.092,21,51987,43
8,2022-01-04,2110625,37,95052,True,4.1,0.138,34,57044,23
1,2022-01-05,3183485,49,158062,True,4.0,0.14,19,64969,38
2,2022-01-05,2544794,41,153330,True,4.0,0.137,33,62068,38
3,2022-01-05,2540908,45,98360,True,4.3,0.099,26,56465,44
4,2022-01-05,1854333,39,0,False,3.9,0.142,24,47547,34
5,2022-01-05,2427474,46,0,False,4.2,0.063,18,52771,42
6,2022-01-05,4666190,75,0,False,4.0,0.112,21,62216,41
7,2022-01-05,3731607,60,69406,True,3.5,0.064,32,62193,34
8,2022-01-05,1920639,38,63925,True,4.6,0.031,27,50543,37
1,2022-01-06,3910537,69,0,False,3.8,0.097,18,56674,21
2,2022-01-06,2332236,37,138383,True,4.7,0.035,31,63033,38
3,2022-01-06,3059211,59,127364,True,4.4,0.039,26,51851,23
4,2022-01-06,3193698,53,0,False,4.3,0.045,30,60258,44
5,2022-01-06,2491516,42,62097,True,4.1,0.113,16,59322,29
6,2022-01-06,3524172,62,166859,True,4.0,0.133,25,56841,34
7,2022-01-06,5101045,87,115694,True,3.8,0.136,23,58633,40
8,2022-01-06,1440104,31,79577,True,4.3,0.126,21,46455,20
1,2022-01-07,6288069,106,169887,True,3.5,0.026,26,59321,34
2,2022-01-07,4684528,78,0,False,3.5,0.091,34,60058,36
3,2022-01-07,4074476,75,126632,True,4.3,0.098,28,54326,44
4,2022-01-07,2642647,46,175924,True,4.7,0.116,24,57449,33
5,2022-01-07,4557957,94,144958,True,4.1,0.043,26,48489,28
6,2022-01-07,5826503,100,121743,True,4.4,0.028,25,58265,44
7,2022-01-07,5605288,98,114381,True,4.8,0.101,15,57197,22
8,2022-01-07,3014137,47,118484,True,4.4,0.148,34,64131,23
1,2022-01-08,3893188,74,82895,True,4.7,0.085,31,52611,33
2,2022-01-08,2731785,55,120212,True,3.8,0.071,17,49669,35
3,2022-01-08,4791785,89,152046,True,4.0,0.046,17,53840,26
4,2022-01-08,3159671,58,74969,True,4.6,0.146,33,54477,21
5,2022-01-08,4588865,79,0,False,3.7,0.132,19,58087,32
6,2022-01-08,7694197,147,135926,True,4.3,0.089,17,52341,41
7,2022-01-08,6755022,135,108871,True,4.1,0.095,23,50037,25
8,2022-01-08,1724008,37,162726,True,4.7,0.049,19,46595,32
1,2022-01-09,6029946,102,116149,True,3.5,0.148,21,59117,24
2,2022-01-09,3722015,64,0,False,4.0,0.04,30,58156,33
3,2022-01-09,3189425,59,168639,True,4.5,0.09,16,54058,34
4,2022-01-09,2594335,40,197003,True,4.1,0.074,20,64858,34
5,2022-01-09,3669765,56,93385,True,4.8,0.067,33,65532,25
6,2022-01-09,6373277,101,115519,True,4.0,0.116,15,63102,24
7,2022-01-09,5501073,104,98279,True,4.8,0.055,30,52895,41
8,2022-01-09,2801483,46,0,False,4.7,0.076,24,60902,24
1,2022-01-10,4159508,70,68187,True,4.0,0.147,15,59422,27
2,2022-01-10,2289684,35,159255,True,4.3,0.104,16,65420,41
3,2022-01-10,3202285,56,177189,True,3.7,0.078,19,57184,39
4,2022-01-10,1537088,30,75972,True,3.7,0.095,32,51236,28
5,2022-01-10,3112850,60,192831,True,3.8,0.055,24,51881,26
6,2022-01-10,3747316,68,0,False,4.0,0.144,34,55108,22
7,2022-01-10,4173305,65,146377,True,4.1,0.04,27,64205,35
8,2022-01-10,1677127,31,95720,True,3.6,0.052,25,54101,35
